Ontology,AUROC 95% CI,Lower bound,Upper bound
ONT:145,0.5,0.5,0.5
ONT:148,0.5,0.5,0.5
ONT:155,0.5391412913799286,0.5375630513213655,0.5407195314384917
ONT:159,0.5,0.5,0.5
ONT:147,0.5204997618993124,0.5195069454471204,0.5214925783515043
ONT:161,0.5277356545130412,0.5262434159222745,0.5292278931038078
ONT:177,0.6606723646322886,0.6583663070076247,0.6629784222569526
ONT:162,0.49809990227222445,0.49765032941561466,0.49854947512883424
ONT:150,0.5063684940338135,0.5058516233043265,0.5068853647633004
ONT:160,0.5011952549219132,0.5007204849103144,0.501670024933512
ONT:163,0.5081951866547266,0.5071969971955007,0.5091933761139525
ONT:151,0.5018910189469655,0.5014571890353379,0.5023248488585932
ONT:158,0.5005884716908137,0.5002864736115036,0.5008904697701237
ONT:169,0.5036741614341735,0.5032395514643182,0.5041087714040289
ONT:152,0.5022323826948801,0.5018562306459352,0.502608534743825
ONT:153,0.5,0.5,0.5
ONT:176,0.665113510688146,0.6632007601184436,0.6670262612578483
ONT:156,0.506332149108251,0.5055886924737267,0.5070756057427752
ONT:175,0.621683269739151,0.6194598155324084,0.6239067239458936
ONT:149,0.5342838724454244,0.5328014149365107,0.5357663299543381
ONT:167,0.5421579539775848,0.5405517836362581,0.5437641243189115
ONT:144,0.5282283703486125,0.5267330060679861,0.5297237346292388
ONT:168,0.5227990607420604,0.5213112781417105,0.5242868433424103
ONT:146,0.5,0.5,0.5
ONT:164,0.5481966356436412,0.5465638382774993,0.549829433009783
ONT:174,0.6123536229133606,0.6102863031285046,0.6144209426982166
ONT:165,0.5114328861236572,0.5106096175517998,0.5122561546955147
ONT:170,0.5114782333374024,0.5104951810283079,0.5124612856464968
ONT:154,0.5149936199188232,0.5139472511832885,0.5160399886543579
ONT:171,0.5309735298156738,0.5295035211016706,0.532443538529677
ONT:166,0.5438201725482941,0.5421733641246165,0.5454669809719717
ONT:173,0.5870657781759898,0.5849841060351242,0.5891474503168554
ONT:157,0.5212057908376058,0.5198245613380749,0.5225870203371367
ONT:172,0.5346509695053101,0.5331671251094906,0.5361348139011296
ONT:147,0.5204997618993124,0.5195069454471204,0.5214925783515043
ONT:160,0.5011952549219132,0.5007204849103144,0.501670024933512
ONT:149,0.5342838724454244,0.5328014149365107,0.5357663299543381
ONT:158,0.5005884716908137,0.5002864736115036,0.5008904697701237
ONT:165,0.5114328861236572,0.5106096175517998,0.5122561546955147
ONT:154,0.5149936199188232,0.5139472511832885,0.5160399886543579
ONT:157,0.5212057908376058,0.5198245613380749,0.5225870203371367
ONT:166,0.5438201725482941,0.5421733641246165,0.5454669809719717
ONT:172,0.5346509695053101,0.5331671251094906,0.5361348139011296
ONT:144,0.5282283703486125,0.5267330060679861,0.5297237346292388
ONT:146,0.5,0.5,0.5
ONT:164,0.5481966356436412,0.5465638382774993,0.549829433009783
ONT:170,0.5114782333374024,0.5104951810283079,0.5124612856464968
ONT:171,0.5309735298156738,0.5295035211016706,0.532443538529677
ONT:173,0.5870657781759898,0.5849841060351242,0.5891474503168554
ONT:150,0.5063684940338135,0.5058516233043265,0.5068853647633004
ONT:151,0.5018910189469655,0.5014571890353379,0.5023248488585932
ONT:152,0.5022323826948801,0.5018562306459352,0.502608534743825
ONT:156,0.506332149108251,0.5055886924737267,0.5070756057427752
ONT:167,0.5421579539775848,0.5405517836362581,0.5437641243189115
ONT:168,0.5227990607420604,0.5213112781417105,0.5242868433424103
ONT:174,0.6123536229133606,0.6102863031285046,0.6144209426982166
ONT:153,0.5,0.5,0.5
ONT:175,0.621683269739151,0.6194598155324084,0.6239067239458936
ONT:145,0.5,0.5,0.5
ONT:148,0.5,0.5,0.5
ONT:155,0.5391412913799286,0.5375630513213655,0.5407195314384917
ONT:159,0.5,0.5,0.5
ONT:161,0.5277356545130412,0.5262434159222745,0.5292278931038078
ONT:162,0.49809990227222445,0.49765032941561466,0.49854947512883424
ONT:163,0.5081951866547266,0.5071969971955007,0.5091933761139525
ONT:169,0.5036741614341735,0.5032395514643182,0.5041087714040289
ONT:176,0.665113510688146,0.6632007601184436,0.6670262612578483
ONT:177,0.6606723646322886,0.6583663070076247,0.6629784222569526
root,0.7141511936982473,0.7124123137772131,0.7158900736192815
