Term,Classification variable importance,Estimation variable importance
PC5,100,4.296314638027271
PC20,80.5853312903065,10.438481953912095
PC354,71.11697589702686,4.240731902314821
PC1,66.74303611672073,51.3046550301472
PC10,57.29989706963276,100
PC21,46.30122159995322,65.14515554066897
PC319,37.91326338513504,5.2299670042286
PC331,36.12291053632258,12.281866439908255
PC268,33.39318688403804,0
PC222,29.435182929464204,2.415233496278636
PC371,28.372241949509537,0
PC71,25.616950816249357,0.2759548253803274
PC370,22.779513600514147,2.7968892108009182
PC97,20.38776206759684,0.4312246053027693
PC363,19.2450328190745,35.67732849238038
PC364,18.917058190042756,52.181287804119506
PC187,18.391310258736198,10.480611726807236
PC213,18.380244777144576,0.12358567901426701
PC275,18.202697383124065,3.781673431246831
PC194,17.904099702080238,1.6694904493992666
PC65,17.839996249579247,1.9382034213130557
PC30,17.581820030544293,0.7490616002388284
PC125,17.53056672736631,0.7604907499452184
PC366,16.4331029898979,31.628146149366295
PC155,14.97734335601395,1.2299193897276868
PC177,14.055496835222177,0
PC367,13.888761504565968,59.5748136944046
PC31,13.354478224007316,7.656691734458463
PC32,12.479999857671263,0.8333344734242514
PC131,11.983335436019535,10.75781224764921
PC307,11.972344262236287,1.2623980022672987
PC139,11.851400209173235,0
PC365,10.981662668044114,35.545324477282655
PC193,9.822205103948264,0
PC114,9.683442991261359,0.8826943766003879
PC132,9.210832197940471,8.238798376343155
PC251,9.18496688793163,0.6444339429391513
PC259,9.117858323334367,0.4869509330346204
PC287,8.274676199875604,0
PC6,7.832377793898875,52.165480170404656
PC221,7.736075954213385,4.724393270775386
PC56,7.333773138534898,0.1393604887703281
PC291,7.3183941790661375,1.2705032721352847
PC95,6.969802233098786,0
PC68,6.519431011368939,9.431384849088818
PC245,5.457133773172886,2.3631543399846584
PC100,3.8901496668533215,0
PC279,3.648017992456134,0
PC181,3.11480463991783,0
PC77,2.9857149689511653,0
PC372,2.9068531222100664,18.91232233676707
PC269,2.063833189273452,0
PC173,1.8755129959289203,6.438007574420196
PC57,1.85869923815121,3.841708878317672
PC93,1.3923678407884552,0
PC29,1.3089380317101116,1.5972227134041215
PC106,1.092401923197388,2.2719068205805293
PC294,0.6220320380718329,0
PC72,0.6135292264254744,0
PC165,0,0
